number,id,bathrooms,bedrooms,beds,instant_bookable,description,person_capacity,property_type,reviews_count,room_type
1,3548538,1.5,3,4,False,"This flat is in the very centre of Geneva: 5 minutes away from the main train station and 10 minutes away from the lake.

It is very new and has 3 bedrooms with double beds, large living room and a large terrace. It is perfect for up to 7 people.",8,Apartment,57,Entire home/apt
3,823725,1.0,1,1,True,"A stone throw to the lake, behind Geneva's most famous Palaces, various shops, bars and restaurants, the studio offers you the best compromise.
Discover Geneva for a business trip, vacation or a weekend break.

A stone throw to the lake, behind Geneva's most famous Palaces, various shops, bars and restaurants, the studio offers you the best compromise between lively atmosphere and easy access to the calm of the lake and nature.
Ideal for couples or single travelers willing to discover Geneva for a holiday, a business trip  or a long stay, the apartment disposes of:

The main room with a comfortable bed ( 140* 200 cm), large and bright windows and a side view to the famous "" Jet d'eau"" and Mont-Blanc. It has a wardrobe, desk, and beddings are also included.  
High speed Internet, Tv, various items such as ironing table, hairdryer, iron, wake-up radio,  are also included in the facilities of the studio.

The bathroom with a bathtub and a shower over the bath, bidet and necessary bathroom items.

A fully equipped kitchen with microwave, kettle, toaster, stoves;

You are welcome at any time after 2pm ( even before if available).

I am at your disposal for any information during your stay via email and phone;

The neighborhood is alive day and night, the studio is located just behind the well known Palaces Genevois ( Kempinski, Hotel d'Angleterre, Beau Rivage and The Richmond).  Nearby you will find many stores open Non Stop , restaurants and bars will welcome you in the local as well as international atmosphere. 

Right next to the bus stop but also a 2 minute walk to the boats that will take you across the lake. 6 minutes walk from the  main train station ( one bus stop ). To reach the airport the train is the best option (1 stop , 6 minutes).",2,Apartment,77,Entire home/apt
4,16307198,2.0,1,1,False,"Your room has a large double bed and faces a courtyard at the back so is very quiet. It is cosy with a antique armchair & sheepskin rug. Plenty of wardrobe space. You have a private bathroom with huge bath.

Our flat is close to the bars and restaurants of Eaux-Vives. There are 2 supermarkets a 3min walk away (Coop & Migros) and an great deli opposite for quick snacks. It's less than 5mins walk to the lake, Jet d'eau & Parc des Granges & there's a bus stop 40m from the door.

You will have a large, cosy room which facing quiet courtyard at the back means it is very quiet. It has a double bed, with thick goose down duvet and pillows, and a luxurious Egyptian cotton sheet. There is a beautiful Rococo armchair so you can relax and read. The room feels really cosy even in winter with a sheepskin rug to keep your feet warm! You also have a floor length mirror and wardrobe. Having your own bathroom with a bath just across the hallway gives you added privacy. There is also a second communal bathroom with a shower if you prefer.

In the rest of the flat you have access to all the communal rooms. The kitchen is brand new with Siemens appliances (dishwasher, fridge, oven and hobs). You will have a separate area in the fridge and a cupboard for any food you would like to store. There is a kitchen table where you can eat your meals. The large hallway which makes the flat feel very spacious and has a great antique armchair for reading/thinking! As above you will have your own private bathroom with large bath, toilet and sink just across the hallway. There is also fiber optic WiFi throughout the apartment.

We are a couple living together and we love meeting new people and would be happy to give you any advice you need on getting around, bar and restaurant recommendations or activities. We love water sports on the lake, hiking, cycling and skiing so can point you in direction for all of those. I speak English and am learning French (slowly). I sometimes work in London during the week but my boyfriend is usually around to help you settle in.

Eaux Vives is the coolest area in town, it has the most bars and restaurants and a great location close the the lake

There are 40+ restaurants within 5mins walk. 2 big supermarkets (Coop & Migros) are less than 3mins. You can easily walk to the old town in 15mins to look around during the daytime or visit some of the stunning parks that are very close by.

Walking to the lake will take you less than 5 mins and you can see the Jet d'eau all the way there (and from the window in the lounge). You can't beat the view in the Sunshine!

Getting around is easy in Geneva, there is a bus stop 30metres from the door with great transport links (1,9,33,A,NP) to the rest of Geneva. You can visit TPG.ch to check transport links or (SENSITIVE CONTENTS HIDDEN)maps is usually very accurate for planning public transport. Uber is available or local taxis

You can also walk to the old town within 15mins.

If you are driving there is a carpark 100m away in the Eaux Vives 2000 shopping centre

If you have any questions then please feel free to ask, even if you just want some advice on Geneva then let me know",2,Apartment,5,Private room
8,3890171,1.0,1,1,False,"Situated in Servette, next to bus 3 and 11 , trams 14 and 18. 
2 minutes to the Cornavin station, 3 min to the UN by bus. 
The room is available for female, furnished with single bed, wardrobe, and desk.
You will share the apartment with a couple.

Perfect lively area, very calm apartment. 
10 min walking distance to the Cornavin station and the United Nations, or 3 min by bus or tram.
THE APARTMENT: The flat is very bright and fully furnished with all utilities (WIFI). 
The flat consists of a kitchen, 2 bedrooms,living room, bathroom. 
There is a storage room ( cave ) in the building . 
Your room: 
You will have a single bed in your room with access to shower and kitchen. There is closet in the room to hang your clothes and store your belongings.
Living room: 
The kitchen is fully equipped with cooker, oven, fridge , freezer, microwave and all kitchen utilities, tableware etc.   
Next to the building there are restaurants, bakeries, cafes, post offices, pharmacies and 3 supermarkets ( Migros, Coop, Denner). 
If you would like to know anything else, please feel free to ask!

Elevator in building 
- Private bedroom  
- Balcony
- Shared Bathroom 
- Free Wifi throughout apartment 
- Kitchen with basic amenities 
- One bedroom is not for guest use

It is in the city center, so you have everything you need, and you can access every thing easily ( lake, station, UN, shops.....)

Directly next to the bus stop Servettes, where you can get tram 14 or 18, bus 11 or 3.

Clean sheets, towels, soap and shampoo provided. ",1,Apartment,86,Private room
10,3685370,1.0,1,1,False,"Elegance and simplicity in a fully equipped, very quiet 1.5-room cosy and modern apartment in Geneva's high-end downtown area, Champel (walking distance to heart of Geneva, shopping district and lake). A best-price ""boutique hotel"" experience, with professional cleaning with disinfection, fresh towels and sheets, bath amenities and welcome breakfast basics as well as a great view on the green of Champel from the 4th floor.

Elegance and simplicity in a fully equipped, 1.5-room cosy and modern apartment in Geneva's high-end downtown area, Champel (walking distance to heart of Geneva, shopping district and lake).

The building lies on a very quiet and green area, on a small, not busy street. Small super market, gym and dry cleaning, around the corner. Bus station a few steps away. Direct bus to train main station (10min). Direct bus to Geneva airport.

The apartment is on the 4th floor with great, broad view with green. It is very luminous with the sun coming directly into the whole room. There is a big window front and a large balcony with a table and chairs for that early morning coffee in the sun or that late afternoon sunset drink.

It was decorated based on a white, minimal, modern and light design of a boutique island vacation hotel. Both the open (fully new) kitchen and the bathroom are fully equipped with all amenities and appliances. Washer and dryer for common use in the basement. Spacious closet in the corridor. Dimmers, hidden lighting and candles make that special atmosphere for guests in the evenings. Comfortable sofa can sleep one person on top of the two on the double bed. The room has a large new plasma TV and wireless sound speakers.

High speed wireless internet, cable TV, free movies on NETFLIX, APPLE TV, PHILIPS HUE, electricity, heating and hot water all included in price. 

Champel is a great neighborhood with nice buildings, big parks and a lot of green. It is very popular since it is quiet, while still walking distance to the city. 

The apartment is professionally cleaned and disinfected before each guest's visit.

** PARKING SPACE: there is availability in front of the building - you just need to tell us in advance before your arrival in Geneva, so that this can be arranged**

Whole apartment.

Daily if required (phone, sms, emails, whatsap etc.).

Champel is a great neighborhood with nice buildings, big parks and a lot of green. It is very popular since it is quiet, while still walking distance to the city.

The building lies on a very quiet and green area, on a small, not busy street. Small super market, gym and dry cleaning, around the corner. Bus station a few steps away. Direct bus to train main station (10min). Direct bus to Geneva airport.",3,Apartment,37,Entire home/apt
13,4522610,1.0,1,2,False,"This is new apartment in the very city center (2 minutes walk from Jet d'Eau). It is very modern and perfect for up to 4 people. 
It is located in the area with a lot of bars, restaurants and supermarkets.

The apartment is very spacious and has 1 bedroom with a double bed, a living room with a double couch, brand new kitchen and a bathroom. It would be perfect for up to 4 people.

It is located right in the city center within 2 minutes walk from the lake and the Jet d'Eau.",4,Apartment,90,Entire home/apt
16,17411538,1.0,0,1,True,"Experience the true beauty of Geneva in a charming studio with an interesting history! With cafes nearby, and The main square of Geneva's old town main just 5 minutes away, get intimately familiar with the allure of the city in the comfort of your temporary, chic home. Peaceful and pristine, with fresh flowers delivered weekly, this spacious studio comes with wooden floor, bathroom, bedroom, and all the little modern touches you need for a perfect stay.

Guests will experience Geneva's beautiful old town, and live walking distance from all the hotspots.

Complete privacy is assured, but I am always available via calls, emails and messages, there for any queries and ready to help guests feel as comfortable as possible. I'm normally very fast in replying even if I'm in a different time zone.

The old town is a really great place to be located with many attractions nearby. It's so close to the center and yet so different. Due to the fact that the buildings are close to each other there would be noise echo during weekends mainly Friday/Saturday nights (summer time). Most of my guests simply love the place and seem to be fine, the sensitive ones do have an ear plugs.

The studio is in the heart of the old town, within walking distance to Bel Air where all the trams and busses intersect and also the city center. The beauty of the old town is that there are a lot of little roads and short cuts to the city and the fun is in exploring them.

I've had over 160 guests now the vast majority  have been very pleased in their stay and their experience in dealing with me. I really try my best in accommodating guests and make them feel welcomed, if you have any special request please let me know and I will try my best to help you or direct you. I look forward to hopefully welcoming you and if not I still wish you a please tell stay in Geneva :)",2,Apartment,137,Entire home/apt
17,2452737,1.0,1,1,False,"Cosy and colorful room to rent in a nice and luminous flat. 
The appartment is located at Cornavin train station (Geneva down town), on the 5th floor with a great view on the Alps and the Mont Blanc!

Bedroom is facing a quiet side of the building. Kitchen and balcony are offering a fantastic view on the Mont Blanc.
Warmful living room. 
You will love our place!

The guests have access to the kitchen and the bathroom (shared).

Our cats love meeting people :).

In the neighborhood there are supermarkets, bars, parcs and restaurants.

The flat is located at 2 minutes (probably the closest appartement) from the main Geneva Station (Cornavin).
The train to the airport takes 7 minutes and leaves every 30 minutes max.
UN at 5min by bus, Palexpo at  15min by bus ...

No check in later than 10.00 pm / no check out before 07.00 am (08.00 am on saturday), thank you!",1,Apartment,105,Private room
21,3384278,1.0,1,1,False,"In Eaux-Vives close to downtown Geneva, Rive
The room is available for female
You will share the apartment with our family,we have 2kids 7 years + 10 months, so you have to be adapted to some noise during some nights but its really rare

It is in perfect area and very calm at night. The apartment is also within 15 min walking distance to Lake Geneva and old town.
THE APARTMENT: The flat is very bright and fully furnished with all utilities (WIFI, TV).
The flat consists of a kitchen, 2 bedrooms,living room, bathroom.
There is a storage room ( cave ) in the same floor .
Your room: 
You will have a sofa-bed with 140 cm width in your room with access to a shower and living room. There is closet in the room to hang your clothes and store your belongings. Please do not wear shoes in your room so you do not damage the floors.
Living room: 
The living room has a large screen TV, and cable TV.The living room has 2 sofa, dining table and seats.
 The kitchen is fully equipped with cooker, oven, 2 fridge , freezer, microwave and all kitchen utilities, tableware etc. The Washing machine is in the bathroom 
You will have your privet refrigerator/freezer that you can use to store items.
Easy access (about 10 minutes or less) to the old town , Rive Sq , Rue de Marchee, It takes about 15 minutes to get to Gare Cornavin, Geneva's main train station.
There are also restaurants, bakeries, cafes, post offices, pharmacies and grocery stores . 
If you would like to know anything else, please feel free to ask!

Airport Transfer Service for 30 Frs.

- Elevator in building 
- Private bedroom 
- Living room 
- Shared Bathroom  
- Free Wifi throughout apartment 
- Free digital cable 
- Kitchen with basic amenities 
- Washing Machine
- One bedroom is not for guest use
Please note the house rules: 
- No guests or pets; 
- No loud music or parties; 
- Quiet nights; 
- Smoking is allowed in the kitchen.

The best part of the neighborhood is that it has everything you want right at your feet! Lake Geneva is a short walk and is absolutely beautiful. 
All of the Geneva plage are also located nearby in walking distance.

The Bus 21 , tram 12 lines stops right 2 min near the apartment. We are also 7 min from Rive sq, Bel air ,  which will connect you to the most of trams and buses lines.

Clean sheets, towels, soap and shampoo provided.

Airport Transfer ( Pickup - Drop off ) Service for 30 Frs.
Free coffee and tea can be provided : )",1,Apartment,131,Private room
23,2168178,1.0,0,1,False,"Nice studio with terrasse in a quiet street down town. Close to the train station, 2 minutes from the lake and close to all transportations and shops.
The studio is very comfortable for one person or two people. The host can be reached at any time.",2,Apartment,71,Entire home/apt
